"tx_id","tx_name","tx_chrom","tx_strand","tx_start","tx_end"
49,"Bra000050","A03","-",9055598,9058314
50,"Bra000051","A03","-",9074360,9074600
51,"Bra000052","A03","+",9077244,9078403
52,"Bra000053","A03","+",9084690,9087408
53,"Bra000054","A03","-",9103926,9105020
54,"Bra000055","A03","+",9112183,9114770
55,"Bra000056","A03","-",9116590,9117259
56,"Bra000057","A03","-",9118170,9120079
57,"Bra000058","A03","+",9123411,9125634
58,"Bra000059","A03","+",9127317,9129415
59,"Bra000060","A03","+",9134163,9137149
60,"Bra000061","A03","+",9137430,9138016
61,"Bra000062","A03","-",9139623,9143998
62,"Bra000063","A03","+",9146806,9147949
63,"Bra000064","A03","+",9148951,9150925
64,"Bra000065","A03","-",9151215,9152126
65,"Bra000066","A03","-",9153572,9155382
66,"Bra000067","A03","-",9158609,9160734
67,"Bra000068","A03","+",9161968,9162355
68,"Bra000069","A03","+",9163355,9165185
69,"Bra000070","A03","-",9165235,9167025
70,"Bra000071","A03","+",9167976,9171729
71,"Bra000072","A03","-",9171834,9173151
72,"Bra000073","A03","-",9173420,9174460
73,"Bra000074","A03","+",9182967,9184780
74,"Bra000075","A03","-",9184824,9187138
75,"Bra000076","A03","+",9189471,9193257
76,"Bra000077","A03","+",9194114,9195599
77,"Bra000078","A03","-",9195874,9196117
78,"Bra000080_Bra000079","A03","-",9196847,9203667
79,"Bra000081","A03","-",9208175,9212438
80,"Bra000082","A03","+",9212455,9213411
81,"Bra000083","A03","-",9214094,9215153
82,"Bra000084","A03","+",9216189,9218779
83,"Bra000085","A03","-",9219239,9221076
84,"Bra000086","A03","-",9221423,9222190
85,"Bra000087","A03","-",9222990,9225228
86,"Bra000088","A03","-",9227696,9229593
87,"Bra000089","A03","-",9232510,9234004
88,"Bra000090","A03","-",9234281,9236372
89,"Bra000091","A03","+",9238301,9239966
90,"Bra000092","A03","+",9240248,9244607
91,"Bra000093","A03","-",9243820,9244405
92,"Bra000094","A03","+",9245180,9247831
93,"Bra000095","A03","-",9250365,9250689
94,"Bra000096","A03","+",9251945,9254477
95,"Bra000097","A03","-",9254394,9255066
96,"Bra000098","A03","+",9256197,9257975
97,"Bra000099","A03","+",9258700,9259861
98,"Bra000100","A03","+",9261166,9265857
99,"Bra000101","A03","-",9266203,9267159
100,"Bra000102","A03","+",9269312,9271889
101,"Bra000103","A03","+",9273150,9277124
102,"Bra000104","A03","-",9277204,9277803
103,"Bra000105","A03","-",9278175,9281272
104,"Bra000106","A03","-",9282861,9285655
105,"Bra000107","A03","+",9289312,9291212
106,"Bra000108","A03","+",9291728,9295663
107,"Bra000109","A03","+",9305581,9308459
108,"Bra000110","A03","+",9312986,9315470
109,"Bra000111","A03","+",9324291,9327535
110,"Bra000112","A03","+",9328923,9330142
111,"Bra000113","A03","-",9330675,9333219
112,"Bra000114","A03","-",9334007,9349583
113,"Bra000115","A03","+",9351355,9353518
114,"Bra000116","A03","-",9354181,9355694
115,"Bra000117","A03","-",9357222,9359412
116,"Bra000118","A03","-",9359721,9360426
117,"Bra000119","A03","-",9376075,9379244
118,"Bra000120","A03","+",9383618,9389181
119,"Bra000121","A03","-",9389298,9393618
120,"Bra000122","A03","-",9402249,9406365
121,"Bra000123","A03","-",9416936,9417359
122,"Bra000124","A03","-",9430809,9433567
123,"Bra000125","A03","-",9443724,9446529
124,"Bra000126","A03","-",9452560,9459912
125,"Bra000127","A03","+",9465972,9467356
126,"Bra000128","A03","-",9467685,9470775
127,"Bra000129","A03","-",9471364,9474201
128,"Bra000130","A03","-",9477576,9481073
129,"Bra000131","A03","-",9482422,9486967
130,"Bra000132","A03","+",9489856,9492982
131,"Bra000133","A03","+",9494250,9495141
132,"Bra000134","A03","-",9494141,9497410
133,"Bra000135","A03","+",9498452,9499544
134,"Bra000136","A03","-",9500208,9506498
135,"Bra000137","A03","+",9510303,9510951
136,"Bra000138","A03","-",9515080,9517759
137,"Bra000139","A03","-",9518151,9521056
138,"Bra000140","A03","-",9521367,9523773
139,"Bra000141","A03","+",9536699,9538982
140,"Bra000142","A03","-",9540229,9541908
141,"Bra000143","A03","-",9548171,9549930
142,"Bra000144","A03","-",9553871,9556504
143,"Bra000145","A03","-",9557054,9560683
144,"Bra000146","A03","-",9568470,9569640
145,"Bra000147","A03","+",9571391,9574623
146,"Bra000148","A03","-",9574848,9575682
147,"Bra000149","A03","+",9578649,9581417
148,"Bra000150","A03","-",9581915,9586246
149,"Bra000151","A03","-",9592214,9594583
150,"Bra000152","A03","-",9595164,9601982
151,"Bra000153","A03","+",9612581,9615327
152,"Bra000154","A03","+",9619396,9623571
153,"Bra000155","A03","+",9623978,9625862
154,"Bra000156","A03","-",9626078,9628687
155,"Bra000157","A03","-",9635708,9637729
156,"Bra000158","A03","-",9638344,9640015
157,"Bra000159","A03","-",9648977,9651064
158,"Bra000160","A03","+",9653335,9655841
159,"Bra000161","A03","+",9657249,9658979
160,"Bra000162","A03","+",9661123,9670563
161,"Bra000163","A03","+",9670681,9672529
162,"Bra000164","A03","-",9672212,9675105
163,"Bra000165","A03","-",9677087,9677813
164,"Bra000166","A03","-",9690188,9692786
165,"Bra000167","A03","+",9695924,9698504
166,"Bra000168","A03","+",9701786,9704551
167,"Bra000169","A03","+",9712976,9716948
168,"Bra000170","A03","+",9718609,9721088
169,"Bra000171","A03","+",9722316,9724693
170,"Bra000172","A03","+",9724856,9726480
171,"Bra000173","A03","-",9726527,9727150
172,"Bra000174","A03","+",9731465,9733154
173,"Bra000175","A03","+",9733389,9735809
174,"Bra000176","A03","-",9743178,9745270
175,"Bra000177","A03","+",9745351,9746729
176,"Bra000178","A03","-",9746890,9749607
177,"Bra000179","A03","-",9760091,9761803
178,"Bra000180","A03","-",9772544,9774336
179,"Bra000181","A03","-",9779331,9782883
180,"Bra000182","A03","-",9783604,9786263
181,"Bra000183","A03","+",9787149,9788771
182,"Bra000184","A03","-",9792311,9793446
183,"Bra000185","A03","-",9797704,9798641
184,"Bra000186","A03","-",9799252,9799958
185,"Bra000187","A03","+",9802837,9808204
186,"Bra000188","A03","-",9810397,9811846
187,"Bra000189","A03","-",9815417,9815675
188,"Bra000190","A03","+",9819905,9821956
189,"Bra000191","A03","+",9824822,9825394
190,"Bra000192","A03","-",9826957,9828407
191,"Bra000193","A03","-",9828908,9830043
192,"Bra000194","A03","-",9830642,9832574
193,"Bra000195","A03","-",9835205,9837585
194,"Bra000196","A03","+",9841594,9843698
195,"Bra000197","A03","-",9843577,9845743
196,"Bra000198","A03","-",9849350,9851705
197,"Bra000199","A03","+",9853016,9854622
198,"Bra000200","A03","+",9856592,9859145
199,"Bra000201","A03","-",9856531,9864761
200,"Bra000202","A03","+",9867239,9869329
201,"Bra000203","A03","-",9871000,9872866
202,"Bra000204","A03","+",9883741,9884307
203,"Bra000205","A03","-",9892443,9893760
204,"Bra000206","A03","-",9894862,9896474
205,"Bra000207","A03","+",9896856,9898804
206,"Bra000208","A03","+",9899873,9901825
207,"Bra000209","A03","-",9899873,9905363
208,"Bra000210","A03","+",9911737,9912112
209,"Bra000211","A03","-",9911927,9915016
210,"Bra000212","A03","-",9919172,9922624
211,"Bra000213","A03","+",9930462,9936008
212,"Bra000214","A03","+",9947840,9948910
213,"Bra000215","A03","+",9950778,9954104
214,"Bra000216","A03","+",9960237,9960952
215,"Bra000217","A03","-",9962116,9965544
216,"Bra000218","A03","+",9967406,9968777
217,"Bra000219","A03","+",9969618,9972641
218,"Bra000220","A03","+",9974629,9985804
219,"Bra000221","A03","-",9987787,9988297
220,"Bra000222","A03","-",10000730,10003170
221,"Bra000223","A03","-",10007350,10009897
222,"Bra000224","A03","+",10019819,10021446
223,"Bra000225","A03","+",10024480,10027134
224,"Bra000226","A03","+",10027830,10030076
225,"Bra000227","A03","+",10045207,10047265
226,"Bra000228","A03","-",10049470,10051214
227,"Bra000229","A03","+",10065583,10067577
228,"Bra000230","A03","-",10068022,10069600
229,"Bra000231","A03","+",10070960,10074190
230,"Bra000232","A03","-",10074251,10076492
231,"Bra000233","A03","+",10082357,10083230
232,"Bra000234","A03","-",10084791,10087724
233,"Bra000235","A03","+",10091247,10092439
234,"Bra000236","A03","-",10092383,10104722
235,"Bra000237","A03","-",10106194,10108859
236,"Bra000238","A03","-",10110044,10116697
237,"Bra000239","A03","+",10118819,10120001
238,"Bra000240","A03","-",10120256,10122693
239,"Bra000241","A03","+",10123851,10124871
240,"Bra000242","A03","-",10125233,10128590
241,"Bra000243","A03","+",10130581,10133343
242,"Bra000244","A03","+",10135749,10135935
243,"Bra000245","A03","+",10142922,10144063
244,"Bra000246","A03","-",10146017,10147674
245,"Bra000247","A03","-",10147776,10151066
246,"Bra000248","A03","-",10151613,10153993
247,"Bra000249","A03","-",10154981,10157350
248,"Bra000250","A03","-",10159160,10160581
249,"Bra000251","A03","+",10164838,10166893
250,"Bra000252","A03","+",10169113,10169993
251,"Bra000253","A03","-",10170500,10171831
252,"Bra000254","A03","+",10191694,10195593
253,"Bra000255","A03","+",10214085,10214660
254,"Bra000256","A03","-",10216667,10219231
255,"Bra000257","A03","+",10224675,10226562
256,"Bra000258","A03","-",10232420,10234337
257,"Bra000259","A03","-",10234851,10236485
258,"Bra000260","A03","-",10236754,10240445
259,"Bra000261","A03","-",10245180,10248978
260,"Bra000262","A03","-",10251433,10254682
261,"Bra000263_Bra000265","A03","-",10255205,10260371
262,"Bra000264","A03","+",10257817,10258039
263,"Bra000266","A03","-",10262811,10263484
264,"Bra000267","A03","+",10265405,10273266
265,"Bra000268","A03","-",10273304,10275327
266,"Bra000269","A03","+",10284695,10287311
267,"Bra000270","A03","-",10290927,10292630
268,"Bra000271","A03","-",10296142,10297396
269,"Bra000272","A03","+",10298196,10299768
270,"Bra000273","A03","+",10300309,10300755
271,"Bra000274","A03","+",10303018,10305298
272,"Bra000275","A03","+",10305902,10306174
273,"Bra000276","A03","-",10309820,10310171
274,"Bra000277","A03","-",10313481,10317737
275,"Bra000278","A03","+",10323273,10327391
276,"Bra000279","A03","+",10335207,10339837
277,"Bra000280","A03","+",10340503,10342494
278,"Bra000281","A03","-",10342539,10343548
279,"Bra000282","A03","-",10344054,10346843
280,"Bra000283","A03","+",10350162,10353587
281,"Bra000284","A03","+",10358210,10361244
282,"Bra000285","A03","+",10361846,10363103
283,"Bra000286","A03","-",10363382,10366757
284,"Bra000287","A03","+",10369599,10369950
285,"Bra000288","A03","+",10371281,10373470
286,"Bra000289","A03","+",10379173,10380650
287,"Bra000290","A03","-",10381233,10382211
288,"Bra000291","A03","-",10383067,10385568
289,"Bra000292","A03","+",10400751,10404833
290,"Bra000293","A03","+",10406422,10410776
291,"Bra000294","A03","-",10410694,10413286
292,"Bra000295","A03","+",10414251,10417277
293,"Bra000296","A03","+",10418573,10420869
294,"Bra000297","A03","-",10421417,10423566
295,"Bra000298","A03","-",10423582,10428693
296,"Bra000299","A03","-",10433844,10434974
297,"Bra000300","A03","-",10438193,10441494
298,"Bra000301","A03","+",10448911,10449536
299,"Bra000302","A03","-",10450131,10451519
300,"Bra000303","A03","-",10451869,10453963
301,"Bra000304","A03","+",10454176,10456131
302,"Bra000305","A03","-",10459822,10462444
303,"Bra000306","A03","-",10464480,10467189
304,"Bra000307","A03","+",10474396,10477937
305,"Bra000308","A03","+",10484082,10488624
306,"Bra000309","A03","+",10489010,10489424
307,"Bra000310","A03","-",10496185,10497599
308,"Bra000311","A03","-",10507787,10509474
309,"Bra000312","A03","-",10518683,10520250
310,"Bra000313","A03","-",10523218,10523813
311,"Bra000314","A03","-",10525470,10526840
312,"Bra000315","A03","-",10540564,10542242
313,"Bra000316","A03","-",10542762,10543983
314,"Bra000317","A03","+",10544260,10547748
315,"Bra000318","A03","+",10549217,10551266
316,"Bra000319","A03","+",10551854,10553822
317,"Bra000320","A03","+",10554710,10556690
318,"Bra000321","A03","+",10559221,10561981
319,"Bra000322","A03","-",10563300,10563951
320,"Bra000323","A03","-",10564642,10565242
321,"Bra000324","A03","-",10566489,10567340
322,"Bra000325","A03","-",10568881,10570171
323,"Bra000326","A03","+",10570616,10573183
324,"Bra000327","A03","+",10573994,10575927
325,"Bra000328","A03","+",10581398,10584509
326,"Bra000329","A03","+",10586265,10587709
327,"Bra000330","A03","+",10590439,10605985
328,"Bra000331","A03","-",10610814,10612356
329,"Bra000332","A03","-",10618502,10621170
330,"Bra000333","A03","-",10625370,10630434
331,"Bra000334","A03","-",10631088,10632898
332,"Bra000335","A03","-",10633202,10635095
333,"Bra000336","A03","+",10635415,10637221
334,"Bra000337","A03","+",10638123,10639003
335,"Bra000338","A03","-",10641728,10643840
336,"Bra000339","A03","+",10644037,10651973
337,"Bra000340","A03","+",10657780,10658194
338,"Bra000341","A03","-",10658607,10659652
339,"Bra000342","A03","+",10664722,10666564
340,"Bra000343","A03","+",10667874,10670652
341,"Bra000344","A03","-",10672409,10674736
342,"Bra000345","A03","+",10675172,10677038
343,"Bra000346","A03","+",10677392,10679535
344,"Bra000347","A03","+",10681627,10684363
345,"Bra000348","A03","+",10691589,10698295
346,"Bra000349","A03","+",10699128,10700130
347,"Bra000350","A03","+",10703924,10704458
348,"Bra000351","A03","+",10710264,10714948
349,"Bra000352","A03","-",10721203,10722102
350,"Bra000353","A03","-",10723362,10726048
351,"Bra000354","A03","-",10726571,10728757
352,"Bra000355","A03","-",10730630,10732620
353,"Bra000356","A03","+",10732765,10733702
354,"Bra000357","A03","+",10733941,10736283
355,"Bra000358","A03","+",10739054,10740015
356,"Bra000359","A03","-",10740751,10742834
357,"Bra000360","A03","-",10743258,10745070
358,"Bra000361","A03","-",10746344,10747433
359,"Bra000362","A03","-",10750328,10753846
360,"Bra000363","A03","+",10757981,10759796
361,"Bra000364","A03","-",10760853,10762130
362,"Bra000365","A03","-",10766495,10770722
363,"Bra000366","A03","+",10780296,10781426
364,"Bra000367","A03","-",10786214,10788164
365,"Bra000368","A03","-",10788573,10788822
366,"Bra000369","A03","+",10795824,10796883
367,"Bra000370","A03","+",10799356,10802535
368,"Bra000371","A03","-",10803111,10806700
369,"Bra000372","A03","+",10809720,10814409
370,"Bra000373","A03","+",10817188,10819173
371,"Bra000374","A03","+",10820099,10824139
372,"Bra000375","A03","-",10826575,10828791
373,"Bra000376","A03","+",10835573,10836839
374,"Bra000377","A03","+",10838195,10839066
375,"Bra000378","A03","-",10842550,10845109
376,"Bra000379","A03","-",10855355,10857614
377,"Bra000380","A03","+",10859141,10859841
378,"Bra000381","A03","+",10862674,10863412
379,"Bra000382","A03","-",10864133,10866831
380,"Bra000383","A03","-",10873235,10875270
381,"Bra000384","A03","+",10875700,10878696
382,"Bra000385","A03","+",10879385,10880693
383,"Bra000386","A03","-",10878904,10882819
384,"Bra000387","A03","-",10883121,10885893
385,"Bra000388","A03","+",10891703,10892644
386,"Bra000389","A03","-",10894086,10894637
387,"Bra000390","A03","+",10898547,10900612
388,"Bra000391","A03","+",10901840,10904057
389,"Bra000392","A03","+",10914448,10916950
390,"Bra000393","A03","-",10917951,10921585
391,"Bra000394","A03","-",10930448,10933950
392,"Bra000395","A03","-",10936283,10938758
393,"Bra000396","A03","-",10946719,10948980
394,"Bra000397","A03","+",10949086,10950082
395,"Bra000398","A03","+",10950363,10951383
396,"Bra000399","A03","+",10951536,10953766
397,"Bra000400","A03","-",10954086,10956566
398,"Bra000401","A03","+",10956690,10958637
399,"Bra000402","A03","-",10959040,10959765
400,"Bra000403","A03","+",10968663,10971671
401,"Bra000404","A03","-",10971043,10972177
402,"Bra000405","A03","-",10974561,10976346
403,"Bra000406","A03","-",10977547,10978908
404,"Bra000407","A03","-",10984988,10987692
405,"Bra000408","A03","-",10992275,10993041
406,"Bra000409","A03","+",10993811,11001930
407,"Bra000410","A03","-",11002376,11003504
408,"Bra000411","A03","-",11008632,11009616
409,"Bra000412","A03","-",11010172,11012195
410,"Bra000413","A03","+",11014180,11015479
411,"Bra000414","A03","+",11016557,11017659
412,"Bra000415","A03","+",11020764,11022682
413,"Bra000416","A03","+",11023072,11025421
414,"Bra000417","A03","+",11025709,11028108
415,"Bra000418","A03","+",11029593,11030845
416,"Bra000419","A03","-",11036226,11036956
417,"Bra000420","A03","-",11040007,11044617
418,"Bra000421","A03","+",11049565,11052702
419,"Bra000422","A03","+",11054181,11054731
420,"Bra000423","A03","-",11056837,11057863
421,"Bra000424","A03","+",11066357,11068708
422,"Bra000425","A03","+",11070695,11071712
423,"Bra000426","A03","+",11072664,11073063
424,"Bra000427","A03","-",11074369,11076726
425,"Bra000428","A03","-",11077574,11080047
426,"Bra000429","A03","+",11081995,11084446
427,"Bra000430","A03","+",11086848,11087205
428,"Bra000431","A03","-",11087687,11088208
429,"Bra000432","A03","+",11106357,11108609
430,"Bra000433","A03","+",11110007,11112396
431,"Bra000434","A03","+",11121302,11122925
432,"Bra000435","A03","-",11126802,11127657
433,"Bra000436","A03","-",11133113,11137791
434,"Bra000437","A03","-",11145920,11147186
435,"Bra000438","A03","-",11147853,11150138
436,"Bra000439","A03","-",11154191,11155078
437,"Bra000440","A03","-",11155667,11158968
438,"Bra000441","A03","-",11161713,11162915
439,"Bra000442","A03","-",11164080,11167895
440,"Bra000443","A03","+",11174149,11175985
441,"Bra000444","A03","+",11178768,11180358
442,"Bra000445","A03","-",11178704,11183617
443,"Bra000446","A03","+",11189255,11190743
444,"Bra000447","A03","-",11190930,11193456
445,"Bra000448","A03","+",11196438,11199892
446,"Bra000449","A03","+",11201942,11202863
447,"Bra000450","A03","+",11203216,11204506
448,"Bra000451","A03","+",11204766,11205147
449,"Bra000452","A03","+",11205592,11206702
450,"Bra000453","A03","+",11210589,11213996
451,"Bra000454","A03","+",11214675,11217318
452,"Bra000455","A03","+",11218275,11219698
453,"Bra000456","A03","+",11220161,11225001
454,"Bra000457","A03","-",11225284,11227951
455,"Bra000458","A03","-",11229158,11230450
456,"Bra000459","A03","-",11231562,11232281
457,"Bra000460","A03","+",11233248,11234131
458,"Bra000461","A03","-",11233490,11237165
459,"Bra000462","A03","-",11241033,11241913
460,"Bra000463","A03","+",11249736,11252435
461,"Bra000464","A03","-",11252720,11255244
462,"Bra000465","A03","-",11255549,11256767
463,"Bra000466","A03","+",11256942,11259628
464,"Bra000467","A03","+",11265126,11265993
465,"Bra000468","A03","-",11267980,11268861
466,"Bra000469","A03","-",11269071,11275370
467,"Bra000470","A03","+",11282365,11283061
468,"Bra000471","A03","-",11285395,11286292
469,"Bra000472","A03","-",11287573,11288011
470,"Bra000473","A03","-",11288898,11295494
471,"Bra000474","A03","+",11298432,11299427
472,"Bra000475","A03","+",11300615,11303279
473,"Bra000476","A03","-",11304355,11310418
474,"Bra000477","A03","+",11311961,11313489
475,"Bra000478","A03","-",11313245,11323733
476,"Bra000479","A03","+",11328377,11329232
477,"Bra000480","A03","-",11333211,11335662
478,"Bra000481","A03","+",11347400,11347877
479,"Bra000482","A03","-",11353048,11353354
480,"Bra000483","A03","-",11354201,11354996
481,"Bra000484","A03","-",11356688,11357728
482,"Bra000485","A03","-",11369838,11371506
483,"Bra000486","A03","-",11372199,11374233
484,"Bra000487","A03","+",11381132,11383813
485,"Bra000488","A03","-",11384545,11385775
486,"Bra000489","A03","-",11386954,11388129
487,"Bra000490","A03","-",11388857,11394967
488,"Bra000491","A03","+",11403122,11404898
489,"Bra000492","A03","+",11407569,11409524
490,"Bra000493","A03","+",11411944,11417344
491,"Bra000494","A03","+",11418844,11422781
492,"Bra000495","A03","-",11427502,11429163
493,"Bra000496","A03","-",11438309,11438988
494,"Bra000497","A03","+",11443717,11444399
495,"Bra000498","A03","-",11465058,11468022
496,"Bra000499_Bra000500","A03","-",11469680,11477873
497,"Bra000501","A03","-",11479106,11480240
498,"Bra000502","A03","+",11481224,11482193
499,"Bra000503","A03","-",11483720,11486474
500,"Bra000504","A03","+",11487517,11488432
501,"Bra000505","A03","+",11491563,11492781
502,"Bra000506","A03","-",11495757,11497581
503,"Bra000507","A03","+",11505179,11506450
504,"Bra000508","A03","+",11519167,11521598
505,"Bra000509","A03","+",11524071,11524921
506,"Bra000510","A03","-",11525144,11526154
507,"Bra000511","A03","+",11530402,11534450
508,"Bra000512","A03","-",11535622,11536489
509,"Bra000513","A03","-",11537418,11538060
510,"Bra000514","A03","-",11540568,11543206
511,"Bra000515","A03","+",11546276,11547689
512,"Bra000516","A03","+",11549344,11551270
513,"Bra000517","A03","+",11554408,11558939
514,"Bra000518","A03","-",11560104,11562072
515,"Bra000519","A03","-",11564012,11564699
516,"Bra000520","A03","-",11569397,11572180
517,"Bra000521","A03","-",11576436,11581938
518,"Bra000522","A03","+",11585216,11592153
519,"Bra000523","A03","+",11592902,11593957
520,"Bra000524","A03","+",11594520,11596566
521,"Bra000525","A03","+",11599344,11600658
522,"Bra000526","A03","-",11602688,11603886
523,"Bra000527","A03","+",11607837,11609149
524,"Bra000528","A03","+",11611918,11614564
525,"Bra000529","A03","+",11620724,11623084
526,"Bra000530","A03","-",11624579,11625092
527,"Bra000531","A03","+",11626209,11628637
528,"Bra000532","A03","+",11629008,11630448
529,"Bra000533","A03","+",11632201,11634006
530,"Bra000534","A03","+",11636719,11639438
531,"Bra000535","A03","-",11639694,11645107
532,"Bra000536","A03","-",11645316,11647111
533,"Bra000537","A03","+",11649297,11652594
534,"Bra000538","A03","+",11662972,11667567
535,"Bra000539","A03","+",11668457,11670368
536,"Bra000540","A03","+",11684481,11687148
537,"Bra000541","A03","+",11693112,11695646
538,"Bra000542","A03","+",11697667,11699393
539,"Bra000543","A03","+",11700485,11703696
540,"Bra000544","A03","+",11709985,11711345
541,"Bra000545","A03","-",11711844,11714091
542,"Bra000546","A03","+",11717071,11718858
543,"Bra000547","A03","+",11719566,11722132
544,"Bra000548","A03","-",11723793,11726297
545,"Bra000549","A03","-",11726991,11730389
546,"Bra000550","A03","+",11731499,11735841
547,"Bra000551","A03","-",11736030,11738536
548,"Bra000552","A03","-",11740018,11756405
549,"Bra000553","A03","+",11758969,11761905
550,"Bra000554","A03","+",11762779,11766223
551,"Bra000555","A03","+",11770545,11775804
552,"Bra000556","A03","+",11779183,11780574
553,"Bra000557","A03","+",11781919,11783793
554,"Bra000558","A03","+",11788220,11791052
555,"Bra000559","A03","+",11791107,11792642
556,"Bra000560","A03","+",11794391,11797080
557,"Bra000561","A03","-",11798593,11805976
558,"Bra000562","A03","+",11807763,11808473
559,"Bra000563","A03","+",11810389,11815452
560,"Bra000564","A03","+",11817686,11822873
561,"Bra000565","A03","-",11826947,11830110
562,"Bra000566","A03","+",11831260,11832473
563,"Bra000567","A03","-",11834378,11835579
564,"Bra000568","A03","-",11836287,11845396
565,"Bra000569","A03","-",11849167,11850756
566,"Bra000570","A03","+",11851108,11853739
567,"Bra000571","A03","+",11854870,11856431
568,"Bra000572","A03","-",11857766,11859714
569,"Bra000573","A03","+",11861253,11863453
570,"Bra000574","A03","+",11864832,11865754
571,"Bra000575","A03","-",11869562,11872238
572,"Bra000576","A03","-",11873922,11882309
573,"Bra000577","A03","+",11885690,11888051
574,"Bra000578","A03","-",11890881,11895714
575,"Bra000579","A03","+",11898952,11900542
576,"Bra000580","A03","-",11905438,11906244
577,"Bra000581","A03","-",11907634,11910193
578,"Bra000582","A03","+",11913315,11915302
579,"Bra000583","A03","-",11916515,11920115
580,"Bra000584","A03","-",11921285,11923990
581,"Bra000585","A03","+",11930226,11932177
582,"Bra000586","A03","-",11932429,11934749
583,"Bra000587","A03","-",11936250,11939104
584,"Bra000588","A03","-",11941003,11944188
585,"Bra000589","A03","+",11948253,11949552
586,"Bra000590","A03","-",11950977,11951571
587,"Bra000591","A03","-",11952658,11955327
588,"Bra000592","A03","-",11955721,11968070
589,"Bra000593","A03","+",11972754,11974449
590,"Bra000594","A03","-",11976358,11979536
591,"Bra000595","A03","+",11992760,11995408
592,"Bra000596","A03","-",11996083,11999681
593,"Bra000597","A03","+",12000353,12001574
594,"Bra000598","A03","-",12000243,12006734
595,"Bra000599","A03","-",12011760,12013076
596,"Bra000600","A03","-",12013665,12018437
597,"Bra000601","A03","+",12020263,12021478
598,"Bra000602","A03","+",12022264,12024572
599,"Bra000603","A03","+",12026737,12030022
600,"Bra000604","A03","-",12030661,12033264
601,"Bra000605","A03","-",12035793,12038509
602,"Bra000606","A03","+",12040929,12043516
603,"Bra000607","A03","-",12044168,12045359
604,"Bra000608","A03","+",12049297,12049615
605,"Bra000609","A03","+",12051322,12052864
606,"Bra000610","A03","+",12054043,12055522
607,"Bra000611","A03","-",12057290,12058788
608,"Bra000612","A03","+",12068307,12071060
609,"Bra000613","A03","+",12076224,12077597
610,"Bra000614","A03","+",12084502,12085981
611,"Bra000615","A03","+",12088714,12090779
612,"Bra000616","A03","+",12094834,12097071
613,"Bra000617","A03","+",12097309,12104472
614,"Bra000618","A03","+",12108270,12111637
615,"Bra000619","A03","-",12112739,12116271
616,"Bra000620","A03","-",12117729,12122059
617,"Bra000621","A03","-",12125953,12129040
618,"Bra000622","A03","+",12132787,12135252
619,"Bra000623","A03","-",12135594,12136785
620,"Bra000624","A03","+",12139841,12140413
621,"Bra000625","A03","+",12143208,12145343
622,"Bra000626","A03","+",12146460,12148369
623,"Bra000627","A03","+",12149692,12150722
624,"Bra000628","A03","+",12154025,12155734
625,"Bra000629","A03","+",12159532,12160021
626,"Bra000630","A03","-",12159326,12161961
627,"Bra000631","A03","-",12163200,12164134
628,"Bra000632","A03","+",12165578,12167432
629,"Bra000633","A03","-",12168181,12169443
630,"Bra000634","A03","-",12174118,12177997
631,"Bra000635","A03","-",12179144,12182435
632,"Bra000636","A03","-",12185544,12187553
