"chr","pos","marker","biomass","height","leaf_length","period","leaf_area"
"A01x11526406","A01",44.03595156,"A01x11526406",1.15875996797854e-05,0.449489627023297,1.28697968356065,0.000250209279244018,0.0357054412164075
"A01x11665796","A01",44.44412143,"A01x11665796",0.00026902534689377,0.450999235236196,1.41369027478339,0.0260097914539301,0.0394013078251874
"A01x12003346","A01",44.85229129,"A01x12003346",0.000647291104330705,0.454922316168791,1.25679563000574,0.0277367899580554,0.0372038940223547
"A01x15217732","A01",45.26046116,"A01x15217732",0.0175981245279662,0.618700674609073,0.910136547922775,0.012025656269671,0.017330778246901
"A01x14683131","A01",45.66863103,"A01x14683131",0.0205217851293433,0.594614509380733,0.999436765059642,0.0190885287975959,0.0169510980799146
"A01x14360906","A01",46.0768009,"A01x14360906",0.000391348993607821,0.7153986726494,1.04781689396015,0.0236844580529834,3.27557905279718e-05
"A01x13378079","A01",46.48497076,"A01x13378079",0.0109677711927265,0.466838661932002,0.865047283545891,0.00387981289706829,0.000345537019200037
"A01x16742310","A01",46.89314063,"A01x16742310",0.00350034046692649,0.634089575259367,0.865060933116382,0.00103690508385057,0.000160366199622786
"A01x17028968","A01",47.30110019,"A01x17028968",0.00339654938438372,0.734701996626569,1.14100163182843,0.00158094015544918,0.000127990564010361
"A01x17440237","A01",48.12800768,"A01x17440237",7.91063121123869e-05,0.854054106905153,0.730021739470033,0.00354998620602487,0.0170908658245708
"A01x18051812","A01",48.53596724,"A01x18051812",9.52106866485281e-05,0.925804652955662,0.976162388654302,0.0160266327752936,0.0189407935045551
"A01x19020630","A01",48.94392679,"A01x19020630",0.00039647739802362,1.03404683571301,1.04195678848222,0.00533169989068938,0.00812238573865898
"A01x19421288","A01",49.77083429,"A01x19421288",0.000877559721111254,0.830067470621913,1.03809635283915,0.000556257258665482,0.00227814832277318
"A01x19476460","A01",50.17836974,"A01x19476460",0.00176036586491257,0.97997448085539,1.16978920720896,0.000255446487926747,0.00174521518681559
"A01x19922395","A01",51.4345758,"A01x19922395",0.102187113709267,0.522871140616132,1.44639079146376,0.00179194618142731,0.0513481705056051
"A01x20113692","A01",51.84211125,"A01x20113692",0.113536223123665,0.473890341768367,1.1420197025746,0.012422309880975,0.0484053261029658
"A01x20145709","A01",52.66901882,"A01x20145709",0.0896092774119062,0.330927982838972,1.10686073556249,0.00659245739109338,0.0371938030703518
"A01x20481091","A01",53.07703167,"A01x20481091",0.0955771627542354,0.248854854203984,1.04507124568096,0.0307040402641405,0.0289722011611389
"A01x20319892","A01",53.07703272,"A01x20319892",0.0955772884088173,0.248854928423413,1.0450715670672,0.0307040061605477,0.0289722624324327
"A01x20606065","A01",53.90377593,"A01x20606065",0.0430033778339727,0.196109225884527,1.02353779146429,0.0082239838941689,0.0361857713724589
"A01x20778084","A01",54.31173567,"A01x20778084",0.0430088853037685,0.196116747050922,1.08469795394157,0.00822873857974571,0.0361942278145762
"A01x20884338","A01",54.71990554,"A01x20884338",0.141649671954886,0.296930792068594,1.13571896990922,0.049297423609957,0.148735143427245
"A01x20960512","A01",55.12807541,"A01x20960512",0.299472829302475,0.432389159050103,1.20822845668957,0.0632912279676106,0.380265579643037
"A01x21149541","A01",55.53624509,"A01x21149541",0.18455196358221,0.306627707714142,0.8786049685568,0.233229457132126,0.308874828942123
"A01x21267732","A01",55.94441496,"A01x21267732",0.0934652000617167,0.261298895508304,0.6737095067339,0.180087478542234,0.199555236162382
"A01x21367330","A01",56.35194335,"A01x21367330",0.18827710246592,0.280958484305842,0.903530487839106,0.127978596755611,0.340254940121213
"A01x21881895","A01",58.04842997,"A01x21881895",0.374362736569584,0.470439480297472,1.33382224233895,0.0769876505307678,0.411816971359087
"A01x21930925","A01",58.45595837,"A01x21930925",0.372436968741118,0.514018591914549,1.33399715742888,0.0994145707941527,0.353806285791961
"A01x22004672","A01",58.86412824,"A01x22004672",0.347325992675978,0.586394827250103,1.37713511626774,0.171352041265195,0.259961559487863
"A01x22115541","A01",59.27187401,"A01x22115541",0.385575515333027,0.769917572465573,1.44504002331342,0.12858767795899,0.214190451365937
"A01x22156290","A01",60.52741645,"A01x22156290",0.239511465589773,0.34578837644915,0.507500712383035,0.136117923106482,0.0953481172687134
"A01x22250566","A01",62.22345674,"A01x22250566",0.147292560071271,0.0549311206426921,0.511494369459371,0.0846861240398766,0.145111376505326
"A01x22496994","A01",62.63098514,"A01x22496994",0.152038524307438,0.0368489719382126,0.464359575081744,0.243095567515752,0.177967652598568
"A01x22640794","A01",63.03915501,"A01x22640794",0.106462212079782,0.0161997809115633,0.382992523401924,0.235611151086403,0.116934029725485
"A01x22648970","A01",63.44732488,"A01x22648970",0.129369115238513,0.0135000116884214,0.43973823712011,0.205771206591976,0.128069454626939
"A01x22836582","A01",63.85528444,"A01x22836582",0.169661546707751,0.00374258614320411,0.336040400842421,0.1920071812999,0.178052638646818
"A01x22974070","A01",64.68197825,"A01x22974070",0.126324699343595,0.00321344742721408,0.357403460634316,0.130696053780824,0.152291175520986
"A01x23115892","A01",65.50850762,"A01x23115892",0.142976257836908,0.0408632272105649,0.327426030703435,0.257563458107228,0.227474142604194
"A01x23485290","A01",65.50850867,"A01x23485290",0.142976513126664,0.0408630961852623,0.327426530120078,0.257562397909439,0.227474308937815
"A01x23566033","A01",65.91652151,"A01x23566033",0.105519866934534,0.0744598279799789,0.255419197948385,0.42885460423949,0.236691702330347
"A01x23678346","A01",66.74342908,"A01x23678346",0.393020416013149,0.0347172393685184,0.219210332869181,0.0679090973938088,0.411136429793601
"A01x23717804","A01",67.15117833,"A01x23717804",0.393961862144371,0.0225245517088126,0.188108058844762,0.0583193111227303,0.524642552494754
"A01x23862909","A01",67.97808582,"A01x23862909",0.350714692255263,0.00141693476450655,0.0324526920957169,0.0863855122399713,0.386423512011845
"A01x23896183","A01",68.38583507,"A01x23896183",0.18815804370794,0.00702710673201068,0.0203895107688936,0.0701278681235777,0.16643300936795
"A01x23987437","A01",69.21274256,"A01x23987437",0.210943553408672,0.00129773427374857,0.0149316885791393,0.00865444126253578,0.205756341882534
"A01x24048223","A01",69.62070212,"A01x24048223",0.249195468850811,0.0143764157500641,0.0105603562990382,0.0159194301257486,0.213735922071635
"A01x24070256","A01",70.02887199,"A01x24070256",0.201119027324003,0.0318699061802477,0.00286307711130007,0.000749693554411124,0.124320337862343
"A01x24108220","A01",70.43572669,"A01x24108220",0.269461289388339,0.022192321020583,0.00405948200608464,0.00637881724681222,0.141283259520321
"A01x24231054","A01",73.52220028,"A01x24231054",0.447542784539504,0.0702978375450698,0.000655489511018459,0.155426375639919,0.43499474705385
"A01x24249266","A01",73.52220133,"A01x24249266",0.447543043052116,0.0702977482778806,0.00065549471543136,0.155426252504668,0.434994832298514
"A01x24274441","A01",73.93057007,"A01x24274441",0.391908655094996,0.028539939985194,0.00199226555204746,0.18007168457919,0.420488602053467
"A01x24377050","A01",74.33873994,"A01x24377050",0.449239797197366,0.0101459797526218,0.003959306975446,0.205861175780512,0.46707107830224
"A01x24454097","A01",74.74690981,"A01x24454097",0.449258790323144,0.0101439548791689,0.00130054464403884,0.205867918962511,0.46709104203893
"A01x24472434","A01",75.15507968,"A01x24472434",0.573985777753851,0.00456376060094499,1.75639408439565e-06,0.247271436867535,0.608169203036823
"A01x24532569","A01",75.56303923,"A01x24532569",0.5968854110347,0.019898507879617,0.000564462751924566,0.356399269182944,0.734778801033656
"A01x24654771","A01",76.38994673,"A01x24654771",0.368284761341485,0.105018600765533,0.00278591182640753,0.303612044405256,0.503825949815109
"A01x24765142","A01",76.79769597,"A01x24765142",0.520197287751856,0.100533720618046,0.0387236601480367,0.282961951807721,0.704649450292607
"A01x24861483","A01",77.62460347,"A01x24861483",0.496020649159057,0.0834309691066153,0.124306329221696,0.213447574592763,0.715488090428209
"A01x24934054","A01",78.03256302,"A01x24934054",0.85197549012396,0.0153067158261422,0.224483698353083,0.10150868396542,1.09359909872973
"A01x24975652","A01",78.44073289,"A01x24975652",0.891689717107779,0.00855773790959802,0.349525013765543,0.0540096574433306,1.22538447080314
"A01x25021670","A01",78.84890276,"A01x25021670",0.795940390285443,0.000540715378349432,0.461766484480677,0.107942373385086,1.09205086423998
"A01x25071323","A01",79.25643116,"A01x25071323",0.795947642267935,0.000540951382021149,0.43340538653456,0.107948161157893,1.09205627745803
"A01x25154492","A01",80.95269655,"A01x25154492",1.49865527987039,0.0786358327032985,0.338631968643085,0.0982851778568801,1.74022869959271
"A01x25264441","A01",81.77895173,"A01x25264441",1.35583739109625,1.90406430512309,0.308864293981344,0.185088875821478,1.54796921714433
"A01x25358217","A01",82.18691129,"A01x25358217",1.05307496180321,1.54903495749429,0.230863856200813,0.131866808678524,1.050663781259
"A01x25419156","A01",82.59508111,"A01x25419156",1.13504013698562,1.46359560028907,0.230850766051702,0.233593140962483,1.01025146887275
"A01x25453300","A01",83.00336171,"A01x25453300",1.00131575083071,1.82646433149159,0.178408159709306,0.183199944087306,0.960297341852254
"A01x25527815","A01",83.41121809,"A01x25527815",0.979961629546613,2.06315669913826,0.206008989697068,0.111116954117279,0.99712890721662
"A01x25689263","A01",84.66759925,"A01x25689263",0.748791960046599,2.0345015422362,0.11652425279749,0.0862288578122872,0.707342281027252
"A01x25722607","A01",85.07534492,"A01x25722607",0.763900663609897,1.89375923394593,0.140221680274777,0.172291524057087,0.751384723801038
"A01x25764424","A01",85.48330449,"A01x25764424",0.716715985583084,1.59744359005009,0.118467375871177,0.139874965068714,0.687964467166751
"A01x25857251","A01",86.30977536,"A01x25857251",0.725867968438004,2.62614732080704,0.191997779023268,0.0763490210349858,0.70479680948813
"A01x25928771","A01",87.57615406,"A01x25928771",0.352412038391535,1.75495373088688,0.141000492418954,0.325198322710435,0.285219459378766
"A01x25975189","A01",88.40951797,"A01x25975189",0.264188307317154,1.15150189186718,0.126345189657712,0.210417275409895,0.2427699610285
"A01x26027978","A01",88.82083523,"A01x26027978",0.247703970119559,1.11835070620663,0.0948616192561644,0.367101565878187,0.236695759771919
"A01x26061276","A01",89.23236458,"A01x26061276",0.238500439193633,1.17378317342857,0.12575597015524,0.282348166111817,0.177840501739354
"A01x26133588","A01",89.64389393,"A01x26133588",0.290441466302738,1.22341674976917,0.164447434781039,0.189743896328139,0.279626705039163
"A01x26248761","A01",90.05542328,"A01x26248761",0.311402089092054,1.0096895533384,0.252620563576954,0.337824490191608,0.253106058479148
"A01x26378441","A01",90.46674053,"A01x26378441",0.351066107718088,0.999001721007488,0.271212586449735,0.401271397872762,0.329433728116499
"A01x26495518","A01",91.30032376,"A01x26495518",0.480513813359147,1.39932397454075,0.4070734536092,0.271063735009847,0.413547647528674
"A01x26649666","A01",92.13390709,"A01x26649666",0.66454959297061,0.0550526701045442,0.533048245344133,0.273430976885408,0.690986973705833
"A01x26761091","A01",92.52001138,"A01x26761091",0.6499772955199,0.0442872576369666,0.475656838063003,0.305603452717079,0.694987854886222
"A02x106635","A02",0,"A02x106635",0.166180763255831,0.000722698918735887,0.572691995422844,0.0808036504109566,0.0882443405099025
"A02x128725","A02",0.386316273,"A02x128725",0.138305007178321,0.0133629460069074,0.544564464677222,0.0434956300476728,0.143176012836022
"A02x222925","A02",0.797633633,"A02x222925",0.145060554664536,0.0022844466930394,0.59669275470759,0.0800975166305307,0.115581383462143
"A02x309377","A02",1.631432566,"A02x309377",0.414349854181779,0.0965476584887881,0.848153498142665,0.0290124180279463,0.0110413514699417
"A02x330209","A02",2.042537731,"A02x330209",0.461486519879221,0.112469785494824,0.884486299566277,0.0500899866377864,0.0011485792792314
"A02x402400","A02",2.876120967,"A02x402400",0.456807650458851,0.09347790519098,0.631241040969059,0.0466945196471045,0.01254078823996
"A02x662264","A02",3.708588725,"A02x662264",0.45001697988299,0.168093338569662,0.639717534978701,0.0387077209134077,0.000363886980267125
"A02x733246","A02",6.343080481,"A02x733246",1.16755342892446,0.483624393877278,0.618278388061071,0.0330316452337058,0.216787343820499
"A02x886252","A02",6.753513048,"A02x886252",0.474187189815609,0.331736209719196,0.521661880245404,0.0257028135939805,0.176035136949508
"A02x905359","A02",7.1650424,"A02x905359",0.469866933317398,0.307015864069029,0.547353304972688,0.0560866764496097,0.183059407984956
"A02x966946","A02",7.576571749,"A02x966946",0.479363165748556,0.247576427010216,0.54764956977246,0.0403526422001477,0.245075458628548
"A02x987547","A02",7.987673371,"A02x987547",0.650860532323003,0.313091169711385,0.919822396982909,0.0584155752284232,0.355964784376454
"A02x1099476","A02",9.25439586,"A02x1099476",0.240641841604042,0.118264383639911,0.503605119702797,0.0131626576526855,0.102999260294439
"A02x1160646","A02",9.830388554,"A02x1160646",0.389169304137173,0.125114313708593,0.762021680071854,0.00470259723911681,0.204300205412949
"A02x1202091","A02",11.27048381,"A02x1202091",0.577951718419836,0.202885499749414,0.703719764388865,0.00720359660476788,0.401827201613685
"A02x1286195","A02",12.10287558,"A02x1286195",0.662198820073227,0.228320190721519,0.45806870764082,9.44200828882913e-05,0.441227906889253
"A02x1380156","A02",14.26802543,"A02x1380156",0.457604683236818,0.145507660030546,0.413640045861598,0.00319789788696312,0.375535735334495
"A02x1578551","A02",17.38208764,"A02x1578551",0.83842090206471,0.4224917483551,0.364492237340045,0.000123550957425778,1.00752585635763
"A02x1585513","A02",18.21453647,"A02x1585513",0.648476610593608,0.379503930731659,0.350093236608643,0.00126630756190593,0.805295449737116
"A02x1600026","A02",18.62564165,"A02x1600026",0.681703929811418,0.294293916456212,0.474762403285894,0.0349761126213366,0.760674868861372
"A02x1628497","A02",19.45944058,"A02x1628497",0.414330199427733,0.231507730447191,0.268661416777121,3.58852614823491e-05,0.646788630384151
"A02x1663532","A02",19.87075784,"A02x1663532",0.324095554652363,0.22110650936142,0.240631545955011,0.0335184554777044,0.495345150924209
"A02x1719897","A02",20.28228718,"A02x1719897",0.359411182573092,0.209319123322757,0.287317205734894,0.0469067212307692,0.513128701941696
"A02x1755467","A02",20.69381653,"A02x1755467",0.329586756775896,0.195913757688089,0.338967506795314,0.0524507922003039,0.466339242246079
"A02x1867868","A02",21.10534588,"A02x1867868",0.347257041284758,0.186914551050734,0.405764103448263,0.00592066272734826,0.473449511071408
"A02x1885427","A02",21.51687523,"A02x1885427",0.356888447889402,0.125054574961297,0.450081474506504,0.0416841212320236,0.508191831706938
"A02x1941115","A02",21.9275346,"A02x1941115",0.357137108843345,0.125168642320887,0.485429577616003,0.0418785795623791,0.508347230746665
"A02x2153775","A02",24.09410852,"A02x2153775",0.432001135364034,0.100902779182462,0.494504367601195,0.0117902404181791,0.880558054436733
"A02x2241974","A02",24.92680695,"A02x2241974",0.424906082471082,0.0268506969570694,0.424559407723422,0.00262988159646227,0.85515966199705
"A02x2297492","A02",25.76039019,"A02x2297492",0.300366721516104,0.00766095024789593,0.653774436644511,0.00172387227841853,0.758186443896363
"A02x2320366","A02",26.17149535,"A02x2320366",0.370800784712543,0.021968657671124,0.761119360692959,0.00242518713706374,0.898301462588847
"A02x2359123","A02",27.00529429,"A02x2359123",0.272717165335735,0.0326072411263283,0.678598638884097,0.0256954676635246,0.669518807168174
"A02x2372490","A02",27.41659374,"A02x2372490",0.188893938134161,0.0139364174074785,0.447682589357555,0.0976864927108494,0.690327643221167
"A02x2444389","A02",27.81511819,"A02x2444389",0.251104056871769,0.0563489202431526,0.532961430145775,0.117411743494031,0.780404927373581
"A02x9341556","A02",64.48281921,"A02x9341556",0.142885492106799,0.193780885503116,1.86377580534517,6.31894276494904e-05,0.0140377765172843
"A02x9399462","A02",64.87798423,"A02x9399462",0.117884171157224,0.179092773939743,1.95344736302624,0.00174294362130922,0.0181222449814982
"A02x9415100","A02",65.28613629,"A02x9415100",0.0722796373883856,0.0746512456769608,2.03476111817545,0.00479550720484667,0.0249968463086248
"A02x9440986","A02",65.69430617,"A02x9440986",0.269530192241051,0.013902865942498,2.83244144007799,0.000650439682189585,0.185861764944036
"A02x9477901","A02",66.10247604,"A02x9477901",0.314634243049053,0.0432013175816905,2.30239678471088,0.101634684873247,0.138637502232996
"A02x9558103","A02",66.51043559,"A02x9558103",0.345868558372722,0.0373958795467217,2.26176962504545,0.0986584343876871,0.165124876465654
"A02x10165707","A02",67.33734309,"A02x10165707",0.243720703135862,0.0267035433367369,2.26248406757489,0.134288617590968,0.0337634425970919
"A02x10235219","A02",67.74530264,"A02x10235219",0.283890633670479,0.00292238997238314,2.26245859698759,2.22888960815983,0.044587742661065
"A02x10369296","A02",68.1532622,"A02x10369296",0.288961946888552,0.000791827601574369,1.97703069782349,2.40531394537615,0.0339867617016694
"A02x10606798","A02",68.9801697,"A02x10606798",0.157255753650389,0.000581603562409327,2.15378274075221,3.25692700029046,0.000860781858534665
"A02x10812958","A02",69.38791895,"A02x10812958",0.158502339056898,0.0039264034963935,2.06241521226048,3.4900981231681,0.0054970934614289
"A02x10819082","A02",70.21417413,"A02x10819082",0.0188885660183793,0.089032212933688,1.96916346777493,3.72732331814052,0.00877073134654438
