id,chr,pos,trait1_lod,trait2_lod,trait3_lod
Chr2_863273,2,5.890543984,0.000676566,0.124962575,0.550952032
Chr2_1644828,2,9.095890617,0.00765877,0.120891119,0.439581032
Chr2_2036826,2,9.948372283,0.049649045,0.011464939,0.096909761
Chr2_5160400,2,10.96779422,0.000334004,0.361784144,0.359902916
Chr2_5580620,2,11.87705035,0.063354765,0.298483878,0.508970019
Chr2_5931430,2,12.24811499,0.077536414,0.193329525,0.433230648
Chr2_6647534,2,16.39416822,0.215032432,0.112820253,0.114180103
Chr2_6888220,2,20.00548059,0.099346189,0.06215465,0.11659568
Chr2_7643379,2,23.0694247,0.119830266,0.168644796,0.316387318
Chr2_7891235,2,24.62045726,0.049719526,0.030915163,0.042675342
Chr2_7995651,2,24.99951188,0.178663959,0.005905354,0.009301168
Chr2_8275143,2,25.76613224,0.100412074,0.029517107,0.051869379
Chr2_8653597,2,26.16313846,0.062740114,0.031473686,0.099027002
Chr2_9287130,2,26.96672222,0.05691898,0.009245699,0.120617452
Chr2_9890558,2,30.30775102,0.045994278,0.000333462,0.076352841
Chr2_9951217,2,31.21239407,0.018371273,0.012095658,0.102097208
Chr2_10121447,2,32.48113059,0.001627938,0.002987553,0.175080177
Chr2_10242505,2,35.08192785,0.014144476,0.000198839,0.348588451
Chr2_11064318,2,40.76911103,0.003598281,0.833999496,0.027056032
Chr2_11450066,2,41.67082601,0.00581988,0.720152547,0.025018572
Chr2_11590039,2,42.08756847,0.001089542,0.994925344,0.000277651
Chr2_12253414,2,46.4889961,0.040995533,0.579746049,0.021464036
Chr2_12336115,2,47.02430653,0.004408427,0.613655256,0.000589915
Chr2_12391117,2,47.5025444,0.006282621,0.712726273,0.021159094
Chr2_12428124,2,48.3142786,0.033504027,0.734644146,0.021692656
Chr2_12756291,2,49.54652559,0.128982323,0.62120692,0.005292161
Chr2_13079962,2,50.3631941,0.213846629,1.361597545,0.08191067
Chr2_13282402,2,51.94653795,0.045232348,0.383116883,0.003394805
Chr2_13390664,2,52.99407184,0.402938194,1.522353259,0.073382079
Chr2_13788024,2,53.49981802,0.331694312,1.49435054,0.198581181
Chr2_14785062,2,55.82409873,0.039182793,0.882336607,0.016384812
Chr2_14935164,2,56.26936561,0.040113287,0.666242612,0.002987886
Chr2_15244621,2,57.04148435,0.079488322,0.533403428,0.000228792
Chr2_15916345,2,59.2499303,0.285246188,0.751634978,0.026093459
Chr2_16296200,2,61.00124751,0.366802149,0.663184973,0.005768858
Chr2_16670735,2,62.30427596,0.210026366,0.415830238,0.001387555
Chr2_17203518,2,62.93984574,0.328008367,0.469146375,0.010408314
Chr2_17466142,2,63.70919047,0.183325442,0.519492331,0.000559937
Chr2_17599274,2,64.92825148,0.168783287,0.5338251,0.062387733
Chr2_19252611,2,69.6909228,0.008541706,0.283379364,0.000796994
Chr3_580130,3,0,0.018357852,0.008861887,0.030332034
Chr3_849679,3,1.285309331,0.08901067,0.094381711,0.00223175
Chr3_1168056,3,1.900046525,0.056082012,0.082513498,0.006423104
Chr3_1437051,3,2.270803574,0.13171189,0.158119128,0.046244356
Chr3_1546244,3,3.017609712,0.111918662,0.144527157,0.028094876
Chr3_2502219,3,4.691065694,0.084542908,0.050674556,0.048715961
Chr3_4709881,3,5.515206067,0.040837493,0.00157597,0.00159548
Chr3_5657132,3,7.193792292,0.112344136,0.003346451,0.009120277
Chr3_6123344,3,8.200082305,0.001640596,5.61E-05,0.010058534
Chr3_6275090,3,8.696336137,0.180824748,0.236591403,0.165970839
Chr3_6631393,3,9.066738924,0.231294748,0.28017702,0.229857274
Chr3_7085170,3,9.814537367,0.27653549,0.112867849,0.13106632
Chr3_7345941,3,10.18626312,0.212884403,0.276503761,0.213663996
Chr3_7603370,3,10.9337338,0.298360989,0.213164693,0.164582439
Chr3_8003985,3,12.45272088,0.314496042,0.101341472,0.13795469
Chr3_8041852,3,12.82412236,0.386207619,0.170877053,0.244295181
Chr3_8157424,3,14.50954845,0.400502261,0.112421806,0.152302781
Chr3_9280198,3,20.48042639,0.054278481,1.36E-05,0.006555369
Chr3_9296473,3,20.89412696,0.075626636,0.0013942,0.0181691
Chr3_9648060,3,22.73517953,0.289204099,0.00015371,0.032587595
Chr3_10282288,3,26.66015194,0.00199698,0.201056405,0.007949715
Chr3_11190953,3,35.75186648,0.020972156,0.020829849,0.134417102
Chr3_11464564,3,36.15237142,0.019624463,0.006837338,0.096807742
Chr3_12135631,3,37.65996012,0.002134807,0.120844428,0.055884557
Chr3_12543713,3,38.15038954,0.078001537,0.028733959,0.069933173
Chr3_15555801,3,39.77444516,0.00754289,0.032973343,0.002327382
Chr3_15703169,3,41.3335618,0.020205555,0.101287491,0.050027588
Chr3_16654318,3,45.74640559,0.027501304,0.126251997,0.027718735
Chr3_16977232,3,46.25523191,0.015325632,0.011598113,0.226981997
Chr3_17135458,3,47.28583281,0.026835598,0.299618535,0.00227033
Chr3_17232965,3,47.79427029,0.001986517,0.072703258,0.019236623
Chr3_17528545,3,48.17764588,0.004907833,0.078643451,0.002614766
Chr3_18169395,3,50.57279337,0.003780237,0.02635006,0.005367208
Chr3_18895108,3,54.5390078,0.002071731,0.020790506,0.058284404
Chr3_19796503,3,57.05079386,0.004843027,0.00492232,0.120670143
Chr3_19985539,3,57.48593396,7.06E-05,0.034721281,0.004606832
Chr3_20312347,3,58.62548484,0.031733392,0.016625953,0.003002304
Chr3_20385530,3,59.76315193,0.012865165,0.186465025,0.15908726
Chr3_20717899,3,60.90061804,0.008848589,0.370648054,0.183323668
Chr3_21450237,3,63.47460271,0.010620423,0.301818449,0.253257146
Chr3_21817398,3,64.12083117,0.039630345,0.358436463,0.264912748
Chr3_21867994,3,64.57887089,0.015485218,0.365794651,0.21090622
Chr3_22059071,3,65.51406205,0.001390569,0.426603943,0.318982093
Chr3_22901441,3,69.83503131,0.00633519,0.10273993,0.151616989
Chr4_11691,4,0,1.188434655,0.494668986,0.322382715
Chr4_473275,4,6.341472802,0.696169806,0.15317425,0.265377626
Chr4_641363,4,8.615197297,0.803321214,0.447691748,0.510819285
Chr4_710741,4,12.33706832,0.166479155,0.100000044,0.141341347
Chr4_855934,4,12.9052717,0.030746458,0.459868522,0.527029118
Chr4_1169958,4,17.16464549,0.269292445,1.772804078,1.63827622
Chr4_1400147,4,18.38541117,0.02227202,1.145534264,1.225356081
Chr4_1418341,4,18.78100265,0.069208035,0.520647369,0.645744369
Chr4_1543500,4,19.82486075,0.032217918,1.58480306,1.771030256
Chr4_1772997,4,20.37772167,0.218744868,1.614904623,1.607953212
Chr4_4811377,4,20.91488459,0.112382809,1.389571227,1.637192389
Chr4_4877123,4,21.45138701,0.180178336,1.851726777,2.06895802
Chr4_5126919,4,21.89933825,0.221982689,1.2973636,1.689955192
Chr4_5189184,4,23.55814624,0.44633562,0.984369305,1.252169109
Chr4_5850301,4,27.74157568,0.069541607,0.377990945,0.87477047
Chr4_6053818,4,28.11438667,0.097369088,0.871803993,1.014632086
Chr4_6318736,4,30.26323683,0.001463505,0.250916992,0.95944712
Chr4_6923169,4,32.87200067,0.000314247,0.364070601,1.32687003
Chr4_7076984,4,33.28624723,0.003713232,0.378500079,1.134183302
Chr4_7166705,4,33.70561514,0.356218475,0.015459425,0.578451081
Chr4_7549127,4,36.97825627,0.025180962,0.276287016,1.582027969
Chr4_7727279,4,38.15410637,0.000277806,0.177413227,1.037191455
Chr4_8274946,4,39.48012199,0.036898539,0.582555708,2.767345856
Chr4_8558470,4,41.74202221,0.020388984,0.19214624,2.558514217
Chr4_8929961,4,43.25495953,0.029357038,0.406421224,3.042458232
Chr4_9228818,4,46.11347729,0.009598723,0.570029581,3.094579643
Chr4_9453356,4,48.12093235,0.025577917,0.538233366,2.54019187
Chr4_9612141,4,48.50969582,0.060603246,0.409440425,2.494913197
Chr4_9776637,4,48.89853937,0.122387454,0.421286547,2.453097401
Chr4_10572723,4,51.37520959,0.198302834,1.045271048,3.633686268
Chr4_10608565,4,51.7550861,0.224851221,0.802941708,3.436749127
Chr4_10786141,4,52.58710098,0.153484821,0.46675591,2.840302449
Chr4_10981824,4,53.84603001,0.363310737,0.860826048,3.888656512
Chr4_11573878,4,56.87323143,0.078142694,0.079750307,1.601107314
Chr4_11687842,4,57.44795192,0.022554431,0.149880519,2.252326156
Chr4_11811501,4,57.98507139,0.037105346,0.073285463,1.921287403
Chr4_12331468,4,61.97468817,0.015195368,0.105137502,1.527436429
Chr4_12409327,4,62.46328297,0.003603715,0.088233276,1.449464254
Chr4_12671042,4,63.88468234,0.002953576,0.00173183,0.441875643
Chr4_13059073,4,65.30998006,0.01227788,0.022995368,0.577822808
Chr4_13170817,4,65.7073616,0.026714931,0.003447309,0.77107673
Chr4_13771216,4,66.87742288,0.046562338,0.050128421,0.341943461
Chr4_14027037,4,67.26214938,0.063835735,0.000103302,0.337631035
Chr4_14728108,4,70.94689121,0.004256746,0.06006927,0.101811707
Chr4_15109520,4,71.46089902,0.07858985,0.026549078,0.581499944
Chr4_15719857,4,72.4966207,0.017587007,0.009636617,0.242784922
Chr4_15765115,4,73.25278301,0.020485715,0.008849773,0.247984287
Chr4_16397469,4,76.3491712,0.057021937,0.169136038,0.186751136
Chr4_16902399,4,79.98305921,0.051540931,0.000575216,0.678226895
Chr4_17416168,4,80.67508636,0.007718667,0.032680305,0.559875625
Chr4_17890108,4,82.8091643,0.236374896,0.021683204,0.789924348
Chr4_18423644,4,83.97313968,0.148933462,0.028081063,0.495271145
Chr5_709219,5,0,2.838503847,1.360977965,2.043803489
Chr5_1552774,5,4.779265522,7.275663883,3.917330905,4.403913895
Chr5_1586682,5,5.156143713,7.750182219,4.057507461,4.88370707
Chr5_1622413,5,5.52976443,8.309837591,4.617990506,4.596107786
Chr5_2151462,5,7.264951745,8.710387356,4.638793131,5.410114719
Chr5_2572017,5,9.629678327,12.55643937,5.694955038,4.538648751
Chr5_2879583,5,10.63154689,15.95722802,7.857720449,6.580726244
Chr5_3118904,5,11.01296656,14.84713438,7.505011979,6.115096381
Chr5_4010648,5,14.65571491,17.83692058,6.190660392,4.57055644
Chr5_4075044,5,15.16125996,13.09676662,3.575176445,3.324967131
Chr5_4494170,5,16.91776059,12.96514883,4.152640559,3.038337275
Chr5_5182528,5,19.77454512,10.82719878,2.883121633,2.295065184
Chr5_5304971,5,20.15432711,8.182919517,2.05298261,1.734193662
Chr5_5462920,5,20.53389866,8.387825566,2.188354622,1.554006183
Chr5_6053174,5,21.87936783,6.398467319,1.624323144,1.216958717
Chr5_6582271,5,22.97360195,6.079052038,1.803403987,1.180378293
Chr5_7442378,5,24.84183938,5.715790962,1.58033067,1.056903148
Chr5_7831112,5,26.71183577,5.321762979,1.275588813,1.014531955
Chr5_8033975,5,28.18474614,4.49595226,1.534084522,0.897736622
Chr5_8180707,5,28.71753517,4.947464342,1.788764006,1.073788728
Chr5_8617976,5,32.2086043,3.290626854,1.427627291,0.79497372
Chr5_8833215,5,34.17070313,0.846843089,0.367761254,0.044945844
Chr5_9081738,5,34.64710716,1.663731537,1.715370708,0.850164547
Chr5_9465995,5,35.11867401,1.663238382,1.504484378,0.659189276
Chr5_9620534,5,35.96467241,1.31612663,1.157254574,0.489142005
Chr5_9753400,5,38.21436889,1.484903194,1.388104117,0.776761677
Chr5_9871531,5,38.64665755,1.058088937,1.279652393,0.340764932
Chr5_10004934,5,39.77697193,0.961766476,1.060203754,0.223644911
Chr5_10389477,5,41.68955728,1.67856906,1.377913512,0.292945214
Chr5_10830865,5,42.43741198,1.41959849,0.889704281,0.134190052
Chr5_13864565,5,43.56697453,2.050196818,1.123984874,0.286529876
Chr5_14743851,5,45.87629098,2.505839625,1.365289739,0.376722894
Chr5_15283656,5,49.72670283,1.422731134,1.378244274,0.363475268
Chr5_15826895,5,51.36230645,1.440372346,1.782913101,0.58878469
Chr5_16351157,5,52.87907248,2.458461629,2.223382995,0.593988599
Chr5_16487114,5,53.24946837,2.214980219,1.894609463,0.446416501
Chr5_16670124,5,53.62074581,2.000842604,1.79112392,0.403040154
Chr5_16916153,5,55.13802546,1.888651505,2.527995212,0.434222923
Chr5_17187390,5,55.51011323,1.132484402,0.88350278,0.006770406
Chr5_17586801,5,56.25740256,3.049937478,2.149595138,0.256951323
Chr5_17817197,5,57.00389044,2.689485916,2.026665592,0.178399699
Chr5_18269473,5,57.3743689,2.741914344,2.167102112,0.242038668
Chr5_18849876,5,58.12168061,2.045931804,2.066607937,0.18489435
Chr5_19242215,5,58.49281397,2.514467298,1.928691916,0.207493862
Chr5_19704501,5,58.87676369,2.618517277,2.215352489,0.254423088
Chr5_19991484,5,59.2606947,2.023117657,1.541692425,0.112322139
Chr5_20301013,5,60.43296451,2.244700155,1.547641131,0.184490906
Chr5_20980856,5,62.01611204,2.202081888,2.208842294,0.370997059
Chr5_21161353,5,62.79784066,1.36584736,1.136790745,0.042481348
Chr5_21301806,5,63.57766446,2.063262898,1.255655626,0.029876331
Chr5_21524588,5,64.75843077,1.860882772,0.905125378,0.045188598
Chr5_22119352,5,68.36686233,1.623824149,0.798787052,0.028738616
Chr5_22291538,5,69.65668509,1.574886516,1.078325932,0.032794593
Chr5_22397475,5,70.40973358,1.151327665,0.832977239,0.023287371
Chr5_22715176,5,70.78359026,1.786696853,1.647471092,0.189130788
Chr5_22895186,5,71.7773513,0.700526836,1.512042961,0.210267007
Chr5_23098340,5,72.3813522,1.160086284,2.233645993,0.45739187
Chr5_23583056,5,74.45988391,1.099365487,1.737306428,0.230655347
Chr5_23747124,5,74.99380982,0.335970313,1.271973847,0.06293249
Chr5_23847512,5,76.523316,0.629261828,1.631537953,0.262869593
Chr5_24057036,5,76.89521174,0.8248166,1.763010828,0.281022965
Chr5_24275716,5,77.26688094,0.578902402,1.600494696,0.277754546
Chr5_24541688,5,78.4012872,1.201716446,1.513613715,0.3552662
Chr5_24979528,5,79.6482708,1.873847422,2.408131561,0.422600204
Chr5_25363940,5,81.67302647,2.373251039,3.867052099,0.991181087
Chr5_25725172,5,82.16479294,2.132255092,3.334503532,0.748686922
Chr5_25955380,5,82.57982552,2.402935933,3.285091717,0.896921063
Chr5_26750579,5,85.12583175,0.965568106,2.090409327,0.56799575
