marker,chr,pos,trait1,trait2,trait3,trait4,trait5
A01x8029418,A01,27.28663362,0.022682867,0.001116486,0.030656531,0.254461947,0.13017906
A01x8047577,A01,28.69036822,0.199672278,0.03722622,0.095061759,0.502783899,0.179880797
A01x8057967,A01,29.14378319,0.257147706,0.038396483,0.118231058,0.495809596,0.107274568
A01x8186237,A01,29.59767357,0.30793121,0.011803993,0.094126898,0.571531854,0.067982882
A01x8348377,A01,30.05156394,0.187830675,0.105310762,0.126736429,0.550618809,0.058283713
A01x8409488,A01,30.50529205,0.136492682,0.057300241,0.116275447,0.467773733,0.047074097
A01x8479578,A01,31.33196221,0.06717909,0.143687853,0.117528594,0.50793666,0.010211207
A01x8682528,A01,32.15844197,0.099689836,0.159246273,0.147621664,0.306778769,0.054215102
A01x9014557,A01,32.9851356,0.091822476,0.22787223,0.339444961,0.225372349,0.002491015
A01x9047566,A01,33.39309516,0.174698701,0.191811905,0.631159033,0.43607723,0.002388613
A01x9090747,A01,33.80126503,0.161787432,0.170500185,0.766252319,0.408744647,0.01425486
A01x9141005,A01,34.2094349,0.069725284,0.116943791,0.706652171,0.367253051,0.006596926
A01x9154927,A01,34.61760476,0.116074595,0.062236729,0.528675843,0.410846849,0.000656093
A01x9187356,A01,35.02556432,0.088827255,0.07175508,0.469649202,0.490689396,0.008623765
A01x9265177,A01,35.85247181,0.386664028,0.107237777,0.398407058,0.645908587,0.023330311
A01x9281217,A01,36.26022106,0.214160123,0.092192999,0.467051296,0.845104071,0.015913157
A01x9400632,A01,37.08712855,0.110101967,0.219590096,0.465105231,0.825624999,0.033394441
A01x9478996,A01,37.49508811,0.129175777,0.168606032,0.407288453,0.583784531,0.013615817
A01x9511676,A01,37.90325798,0.108172484,0.166303873,0.323634316,0.622843935,0.000313364
A01x9621651,A01,38.31121753,0.175994213,0.086824206,0.452392579,0.558785318,0.017880929
A01x9710442,A01,39.13812503,0.181688487,0.066522345,0.316793382,0.562249014,0.004666218
A01x9787957,A01,39.54608458,0.177467988,0.071791369,0.319214842,0.493666929,0.008184412
A01x9861110,A01,39.95425367,0.090061368,0.088928876,0.207050641,0.55731377,0.006951182
A01x9927004,A01,40.36242354,0.099411738,0.104157037,0.139901306,0.587354722,0.023749583
A01x10008696,A01,40.77059341,0.062046331,0.068117881,0.090031941,0.580428772,0.028286799
A01x10040274,A01,41.17876249,0.136485551,0.053187362,0.167063236,0.515076534,0.030745334
A01x10144579,A01,41.58693236,0.026816072,0.008939492,0.278112321,0.475300196,0.017098726
A01x10233513,A01,41.99510223,0.025676564,0.006137372,0.197923161,0.498800097,0.04267682
A01x10719350,A01,42.40327209,0.035443258,0.037664872,0.263600854,0.536091397,0.09208742
A01x10838067,A01,42.81144196,0.064859663,0.065537508,0.346514348,0.543290361,0.083913932
A01x10963079,A01,43.21961183,0.017997409,0.081965056,0.229033404,0.609981108,0.079613408
A01x11244488,A01,43.62778169,0.02029875,0.091259097,0.140241388,0.781629883,0.045527569
A01x11526406,A01,44.03595156,0.045944531,0.067946698,0.038402936,0.780346698,0.06881884
A01x11665796,A01,44.44412143,0.080197165,0.069609399,0.053609425,0.752988358,0.025531155
A01x12003346,A01,44.85229129,0.04574096,0.035024369,0.019555361,0.874102949,0.053241392
A01x15217732,A01,45.26046116,0.061007493,0.07386556,0.032419027,1.15390805,0.103135075
A01x14683131,A01,45.66863103,0.025219855,0.02287123,0.002707968,1.370148626,0.057602116
A01x14360906,A01,46.0768009,0.043170174,0.022481095,0.045158009,1.756452506,0.009348612
A01x13378079,A01,46.48497076,0.053638193,0.01459338,0.048196384,1.803752925,0.010068027
A01x16742310,A01,46.89314063,0.032715353,0.019592822,0.066288487,1.748552065,0.063335193
A01x17028968,A01,47.30110019,0.013142871,0.006140606,0.033642672,1.732079297,0.07050788
A01x17440237,A01,48.12800768,0.005467267,0.000774287,0.004144991,1.275106589,0.066327877
A01x18051812,A01,48.53596724,0.03414361,0.01358044,0.000120281,1.28571168,0.176112588
A01x19020630,A01,48.94392679,0.045556961,0.054133391,0.006394369,1.227631488,0.104283009
A01x19421288,A01,49.77083429,0.008032773,0.130484981,0.000277407,1.514630659,0.145962007
A01x19476460,A01,50.17836974,0.001104078,0.075730374,8.32E-08,1.709128591,0.171896122
A01x19922395,A01,51.4345758,0.017488852,0.118985266,0.021231268,2.054206974,0.501467424
A01x20113692,A01,51.84211125,0.060154152,0.039741316,0.004877459,2.047643663,0.296137482
A01x20145709,A01,52.66901882,0.121256284,0.002825014,1.90E-05,2.596348421,0.216267112
A01x20481091,A01,53.07703167,0.092951475,0.000667522,0.006598832,2.558563436,0.298165026
A01x20319892,A01,53.07703272,0.092951428,0.000667529,0.006598831,2.558562234,0.298165024
A01x20606065,A01,53.90377593,0.137711328,0.012072498,0.007588368,2.167713107,0.487076821
A01x20778084,A01,54.31173567,0.216611146,0.051581446,0.00029113,2.052694114,0.336746001
A01x20884338,A01,54.71990554,0.246902477,0.02036401,0.010818554,2.38661922,0.431795425
A01x20960512,A01,55.12807541,0.139539442,0.018747869,0.006756186,2.132797971,0.518176348
A01x21149541,A01,55.53624509,0.214182565,0.019633466,0.011751937,2.15444285,0.589045738
A01x21267732,A01,55.94441496,0.25566186,0.003001561,0.011115277,2.554135528,0.58977519
A01x21367330,A01,56.35194335,0.263929432,0.000861999,0.05023582,2.393760845,0.450788245
A01x21881895,A01,58.04842997,0.306023547,0.014693686,0.025134245,1.932305105,0.517067138
A01x21930925,A01,58.45595837,0.339730979,0.013754277,0.052431132,1.846533971,0.376569898
A01x22004672,A01,58.86412824,0.285477779,0.000320012,0.006438019,1.88959892,0.294956604
A01x22115541,A01,59.27187401,0.238896412,0.000140739,0.000176725,2.139139689,0.454245165
A01x22156290,A01,60.52741645,0.5666458,0.000235123,0.007009144,2.731348397,0.388191479
A01x22250566,A01,62.22345674,0.796630366,0.026236416,0.02484651,2.924448898,0.38895923
A01x22496994,A01,62.63098514,0.844191624,0.001948337,0.007609496,3.005406114,0.519963392
A01x22640794,A01,63.03915501,0.735971536,0.017161271,0.010693855,2.728097461,0.471801706
A01x22648970,A01,63.44732488,0.970113051,0.026418979,3.26E-05,2.586849899,0.484629987
A01x22836582,A01,63.85528444,1.274338053,0.000225104,0.013174956,3.06843982,0.760632852
A01x22974070,A01,64.68197825,1.438558372,0.009729485,8.19E-06,2.906475464,0.819164107
A01x23115892,A01,65.50850762,1.258971521,0.021633169,0.000646876,2.978677365,0.918717111
A01x23485290,A01,65.50850867,1.258970647,0.021633165,0.000646872,2.978677247,0.918716759
A01x23566033,A01,65.91652151,1.407732793,0.036745894,0.004813636,2.761988058,0.84087612
A01x23678346,A01,66.74342908,1.595568824,0.007362927,0.032381316,3.144980073,0.587546935
A01x23717804,A01,67.15117833,1.210296441,0.012136528,0.053960612,3.621669247,0.633033276
A01x23862909,A01,67.97808582,1.137694427,0.074227913,0.061941661,4.351016001,0.576417973
A01x23896183,A01,68.38583507,1.419799477,0.077371609,0.073138053,4.717956181,0.485362517
A01x23987437,A01,69.21274256,2.324742696,0.056684715,0.062506909,5.619065346,0.400247436
A01x24048223,A01,69.62070212,2.815432805,0.0279272,0.08130278,5.835260948,0.354151076
A01x24070256,A01,70.02887199,3.264547031,0.148319383,0.05634489,6.020863236,0.388310298
A01x24108220,A01,70.43572669,3.162080439,0.140590927,0.074947181,6.160338962,0.36640778
A01x24231054,A01,73.52220028,2.416884886,0.081793151,0.124971788,5.275762383,0.486305879
A01x24249266,A01,73.52220133,2.416884885,0.081793134,0.124971895,5.275762213,0.486305714
A01x24274441,A01,73.93057007,1.967040447,0.127411079,0.101098323,5.071145826,0.539835956
A01x24377050,A01,74.33873994,1.762320688,0.120905827,0.07064957,5.184195338,0.349267747
A01x24454097,A01,74.74690981,1.51512792,0.054430845,0.026725976,5.387114302,0.500071964
A01x24472434,A01,75.15507968,1.546099125,0.101455403,0.024045192,5.388258964,0.443277078
A01x24532569,A01,75.56303923,1.671745928,0.173717981,0.090584515,5.303578857,0.539360515
A01x24654771,A01,76.38994673,1.593617858,0.076277478,0.138449777,4.776520784,0.290488901
A01x24765142,A01,76.79769597,1.622414385,0.033939539,0.079289466,4.54230984,0.319808998
A01x24861483,A01,77.62460347,1.216143185,0.242694372,0.008789806,3.89509144,0.430645883
A01x24934054,A01,78.03256302,1.568592812,0.236879918,0.011052409,3.700537085,0.335435978
A01x24975652,A01,78.44073289,1.965880981,0.361290134,4.13E-05,3.183995292,0.198732539
A01x25021670,A01,78.84890276,1.875605564,0.323839786,0.02112736,3.255815028,0.304771756
A01x25071323,A01,79.25643116,2.028043471,0.163885354,0.001150736,3.85055985,0.389746475
A01x25154492,A01,80.95269655,2.488314085,0.402618339,0.003011834,3.867699666,0.445388768
A01x25264441,A01,81.77895173,2.158513779,0.206125364,0.014407176,3.257870294,0.416189297
A01x25358217,A01,82.18691129,1.843929959,0.214766902,0.029776449,3.041860403,0.410301254
A01x25419156,A01,82.59508111,1.80477711,0.239358381,0.008639507,2.972547085,0.324782077
A01x25453300,A01,83.00336171,1.801230933,0.353621156,0.000889458,2.49691987,0.266792749
A01x25527815,A01,83.41121809,1.921382289,0.385604798,0.012773374,2.547893134,0.192744192
A01x25689263,A01,84.66759925,1.711287773,0.353362501,0.016074366,2.44358031,0.212285992
A01x25722607,A01,85.07534492,1.270392958,0.452648469,0.004068055,2.138497496,0.179233825
A01x25764424,A01,85.48330449,1.435754819,0.472599808,0.00499958,2.001206732,0.229254737
A01x25857251,A01,86.30977536,1.167717011,0.228302315,0.12106219,1.567439942,0.108077723
A01x25928771,A01,87.57615406,0.850748728,0.354401465,0.112185926,1.591381183,0.141728373
A01x25975189,A01,88.40951797,0.482733377,0.25457962,0.109708815,1.282793402,0.239270177
A01x26027978,A01,88.82083523,0.39113123,0.256814219,0.08801893,1.322009926,0.349653325
A01x26061276,A01,89.23236458,0.409214559,0.230229651,0.061369691,1.164402989,0.345878218
A01x26133588,A01,89.64389393,0.275665793,0.069813635,0.087672752,1.106313988,0.314785524
A01x26248761,A01,90.05542328,0.247228319,0.042346579,0.116071576,1.438362123,0.243776113
A01x26378441,A01,90.46674053,0.321188835,0.044175494,0.111863585,1.153434928,0.187869052
A01x26495518,A01,91.30032376,0.595678493,0.032993815,0.067854485,1.120352129,0.094597328
A01x26649666,A01,92.13390709,0.562503083,0.088836757,0.044868596,0.747078221,0.274110269
A01x26761091,A01,92.52001138,0.703160286,0.032406984,0.114349083,0.602429586,0.365035753
A02x106635,A02,0,0.040036463,0.485007348,0.00217971,0.661283147,0.099213499
A02x128725,A02,0.386316273,0.099102472,0.433358088,0.064843213,1.001014512,0.100150815
A02x222925,A02,0.797633633,0.150269087,0.358801131,0.01404592,1.359562118,0.222363058
A02x309377,A02,1.631432566,0.216054719,0.372874246,0.006155228,1.312084178,0.064322195
A02x330209,A02,2.042537731,0.287294132,0.368383835,0.005145031,1.043342315,0.037718933
A02x402400,A02,2.876120967,0.498031547,0.59672607,0.000271567,0.733329698,0.039327838
A02x662264,A02,3.708588725,0.516023389,0.590842923,0.032159046,0.681016515,0.01890688
A02x733246,A02,6.343080481,0.230924154,0.468959292,0.039952638,0.249744582,0.00147801
A02x886252,A02,6.753513048,0.120632747,0.246418029,0.030567878,0.184964999,0.011197564
A02x905359,A02,7.1650424,0.129339501,0.188330402,0.000202605,0.213804242,0.008656684
A02x966946,A02,7.576571749,0.023614294,0.088826536,0.017095039,0.187840061,0.002338669
A02x987547,A02,7.987673371,0.000124242,0.045994375,0.016989203,0.075851168,0.007489929
A02x1099476,A02,9.25439586,0.076982561,0.053901108,0.018770474,0.002658027,0.015416406
A02x1160646,A02,9.830388554,0.04834042,0.067054149,0.077611874,0.000187337,0.002488891
A02x1202091,A02,11.27048381,0.322600857,0.02814877,0.015926425,0.007205628,0.000708097
A02x1286195,A02,12.10287558,0.405321743,0.000330709,0.000871488,0.066680015,0.027580002
A02x1380156,A02,14.26802543,0.001634637,0.000150412,0.002276974,0.161778677,0.024463649
A02x1578551,A02,17.38208764,0.061840247,0.107248948,0.02413385,0.222777106,0.003655819
A02x1585513,A02,18.21453647,0.066746444,0.113622,0.000514114,0.275471084,0.000141681
A02x1600026,A02,18.62564165,0.053467808,0.156814695,0.004454076,0.145782425,0.00297055
A02x1628497,A02,19.45944058,0.094788794,0.206868078,0.007590269,0.261014574,0.007156973
A02x1663532,A02,19.87075784,0.132227535,0.134587756,0.015742569,0.224018166,0.025103834
A02x1719897,A02,20.28228718,0.233882715,0.112581633,0.000306294,0.267778716,0.022916782
A02x1755467,A02,20.69381653,0.163066849,0.076527858,0.006250685,0.481318985,0.038863904
A02x1867868,A02,21.10534588,0.222496032,0.077838863,0.012968225,0.504482508,0.089755213
A02x1885427,A02,21.51687523,0.087012812,0.040725144,0.002567093,0.651579992,0.113702392
A02x1941115,A02,21.9275346,0.060530017,0.001500498,0.003638532,0.901414241,0.166351582
A02x2153775,A02,24.09410852,0.014224416,0.062077126,0.000371024,2.012699046,0.344476238
A02x2241974,A02,24.92680695,0.017480085,0.138295855,0.026331571,1.952052458,0.29940742
A02x2297492,A02,25.76039019,0.003454476,0.072615043,0.001219863,1.956883568,0.362438881
A02x2320366,A02,26.17149535,0.013179195,0.033491395,0.000348304,1.751592252,0.324607034
A02x2359123,A02,27.00529429,0.07273107,0.022983667,9.80E-05,1.628864912,0.243314875
A02x2372490,A02,27.41659374,0.068727105,0.005614587,0.010995073,1.859303467,0.322592442
A02x2444389,A02,27.81511819,0.07117356,0.00406887,0.007211051,1.926084799,0.303617411
A02x9341556,A02,64.48281921,0.103446324,2.065661092,0.000447104,2.833931185,0.097665666
A02x9399462,A02,64.87798423,0.159777468,2.370131669,0.00828723,2.723041077,0.042223005
A02x9415100,A02,65.28613629,0.293020115,2.830750124,0.000515363,2.898242944,0.000230312
A02x9440986,A02,65.69430617,0.160916873,3.131167173,0.000386533,3.45551429,0.007419204
A02x9477901,A02,66.10247604,0.08575541,3.293062471,7.63E-05,3.552401533,0.037824083
A02x9558103,A02,66.51043559,0.045828318,3.556750049,0.007990951,4.367854728,0.022066868
A02x10165707,A02,67.33734309,0.053552746,3.496122573,0.029564823,5.3990732,0.01561451
A02x10235219,A02,67.74530264,0.080171856,3.603747248,0.017849399,5.348137198,0.000793511
A02x10369296,A02,68.1532622,0.106105186,3.656425158,0.030715994,5.634283801,0.008587327
A02x10606798,A02,68.9801697,0.295088882,4.319089404,0.041130406,5.548674384,0.006480028
A02x10812958,A02,69.38791895,0.328314527,4.268771158,0.074496646,5.63624327,0.000428858
A02x10819082,A02,70.21417413,0.32330964,5.012253504,0.181681229,5.136399406,0.012238224
A02x11182956,A02,71.91043952,0.344834695,5.872903448,0.065613136,6.387322771,0.043335968
A02x11407503,A02,72.31796792,0.299664829,6.380671351,0.047689994,6.85967136,0.051748594
A02x11479009,A02,72.72613779,0.289702094,5.890758468,0.098276854,7.350525813,0.090381684
A02x11484559,A02,73.13388355,0.326082423,6.392964134,0.048816982,8.003021843,0.170866427
A02x11746307,A02,74.39008961,0.248876687,5.158175821,0.211533832,6.572310198,0.354934165
A02x11841851,A02,74.79762506,0.127304492,4.498909155,0.153939583,6.296973052,0.676705034
A02x12174045,A02,75.62410129,0.081982617,4.856514851,0.114065755,5.650001148,0.685665375
A02x12745444,A02,76.88008977,0.127924436,3.975733237,0.055809882,5.132268773,0.823685059
A02x12927010,A02,77.28783554,0.256677536,3.637353394,0.056464481,4.368823086,0.906411735
A02x12978488,A02,77.69558167,0.250297766,3.230914615,0.072159898,4.248700003,1.00665531
A02x13567707,A02,78.95126166,0.371803334,4.696961028,2.32E-05,4.277852193,0.583506801
A02x13187960,A02,78.95126271,0.371803134,4.696960043,2.32E-05,4.277853752,0.583505657
A02x13043445,A02,78.95126376,0.371803073,4.696959474,2.32E-05,4.27785329,0.583505562
A02x13776026,A02,79.35949972,0.322499976,4.382267277,0.001388651,3.914893739,0.822790734
A02x13955013,A02,79.76766965,0.324792491,4.827402044,0.045685888,3.962341516,0.598893012
A02x14252279,A02,80.17583952,0.254745442,4.654844824,0.068372157,3.757855813,0.543912936
A02x14572702,A02,80.58400939,0.30006165,4.733138312,0.029597267,3.634643073,0.664147085
A02x14798126,A02,80.99217925,0.363898808,3.976469038,0.003052461,3.087381999,0.554112575
A02x14876298,A02,81.40034912,0.421225486,3.355078122,0.001519926,2.687354918,0.710462362
A02x14992949,A02,81.80851908,0.476956348,3.627151743,4.07E-05,2.984424365,0.489193317
A02x15281478,A02,82.21671453,0.818269052,3.022343239,0.016400989,2.839784712,0.420568599
A02x16849251,A02,82.21671558,0.818269133,3.022343347,0.016401006,2.839784919,0.420568569
A02x18495757,A02,82.62491103,0.761042694,2.568836281,0.001281842,2.527087503,0.372819554
A02x19072264,A02,83.03308099,0.663250557,2.604795142,0.01152516,2.136848434,0.474200982
A02x19364088,A02,83.44082675,0.672047466,2.524214348,0.045080918,1.807149899,0.57244538
A02x19548615,A02,84.69703268,0.400077402,2.572450616,0.068564345,1.687567125,0.318918737
A02x19733144,A02,85.10477844,0.519779663,2.147601901,0.016971686,1.930005636,0.229106996
A02x20144303,A02,85.512738,0.410570515,2.023934138,0.002998224,1.870647619,0.334946206
A02x20311794,A02,86.33921409,0.714390568,1.95578118,0.000794565,2.346743187,0.33240432
A02x20420496,A02,87.59520258,0.913371772,1.00536511,0.085300735,1.952864945,0.423750387
A02x20560232,A02,88.00230688,0.776088977,0.979739566,0.05693314,1.858553358,0.629229135
A02x21859552,A02,89.6987937,0.674699821,0.881753482,0.116645361,1.775763018,0.147413977
A02x21996109,A02,90.1063221,0.79256046,0.895579913,0.097425885,2.198459735,0.197874165
A02x22120337,A02,90.51428166,0.869685075,0.68702626,0.149998719,2.18223319,0.272011937
A02x22160253,A02,91.34075789,1.011301968,0.301271439,0.368955906,2.333715796,0.246555326
A02x22262726,A02,92.59630764,1.193321766,0.23348537,0.298238071,1.685592705,0.270868944
A02x22613501,A02,93.85185739,1.306180864,0.25953483,0.193882337,1.091893545,0.473934587
A02x22788955,A02,94.67833362,1.256586519,0.244863597,0.35503533,0.710816867,0.795378785
A02x22935096,A02,95.08629318,1.193089298,0.249983061,0.277201532,0.674762116,0.627232724
A02x22962888,A02,95.49446305,1.395256351,0.252056241,0.303799399,0.648697566,0.546131936
A02x23054939,A02,95.90220881,1.496203387,0.173158993,0.29911555,0.454890419,0.53752624
A02x23148526,A02,97.15841486,1.149052624,0.099587906,0.300217431,0.207156973,0.336543297
A02x23266029,A02,97.56616062,0.864605473,0.046394093,0.199090776,0.250046915,0.216687896
A02x23304571,A02,97.97433049,0.907357952,0.059349183,0.204975208,0.229126545,0.212094244
A02x23348001,A02,98.38250036,0.654406546,0.061291661,0.188348693,0.185937799,0.325909791
A02x23508352,A02,98.79067023,0.703957151,0.073017392,0.124768244,0.146598354,0.343334365
A02x23625802,A02,99.19862979,0.743187649,0.048994408,0.243349477,0.079180009,0.321449996
A02x23649305,A02,100.0253234,0.550643329,0.053178618,0.142436904,0.124340299,0.427691599
A02x23711520,A02,100.8518032,0.45857348,0.017545967,0.045675745,0.066155642,0.243903008
A02x23876242,A02,101.6784968,0.758667608,5.41E-05,0.1261259,0.015962629,0.154852935
A02x23903013,A02,102.0860323,0.533126471,0.00401412,0.102827993,0.025382223,0.125970607
A02x23937274,A02,103.3422383,0.509483359,0.002719277,0.09129066,0.01346457,0.075049751
A02x24015203,A02,103.7488968,0.438889498,0.005097982,0.115596249,0.017562685,0.015154256
A02x24363731,A02,106.3606963,0.482682648,0.046712519,0.069665072,0.000828509,0.020986644
A02x24371846,A02,106.7675686,0.483414076,0.103850655,0.019962217,0.010501948,0.038961811
A02x24474281,A02,107.5944761,0.313173198,0.082188965,0.086779281,0.042597666,0.082027361
A02x24603877,A02,108.0024357,0.344814725,0.07123328,0.093681275,0.104039608,0.032314112
A02x24630187,A02,108.410181,0.310644635,0.084669824,0.150380699,0.075885549,0.038547481
A02x25029146,A02,109.6672483,0.432455088,0.036442618,0.107125908,0.065736357,0.023034897
A02x25061502,A02,110.0746763,0.528173924,0.071519545,0.175311267,0.037003534,0.006605228
A02x25312572,A02,111.7722231,0.939053115,0.08810966,0.06141558,0.184422005,0.007466167
A02x25322913,A02,112.1797633,0.794081938,0.197317165,0.050780933,0.164598509,0.000440384
A02x25405032,A02,113.0058159,0.597565052,0.102521478,0.047101413,0.188252385,0.031121752
A02x25425792,A02,113.4137759,0.609600781,0.04642093,0.035363862,0.159769053,0.048472978
A02x25532887,A02,113.8217354,0.586160582,0.035561882,0.056400092,0.21962402,0.049627461
A02x25659068,A02,114.6486429,0.609413249,0.011991913,0.169895759,0.194472454,7.53E-05
A02x25680707,A02,115.0566025,0.694218399,0.016037159,0.23251165,0.110126885,0.007391597
A02x25743754,A02,115.4641309,0.526176566,0.013907921,0.184950996,0.075233583,0.00652682
A02x25900706,A02,117.1603963,0.298041442,0.118702674,0.438175801,0.002364622,0.007488863
A02x26123214,A02,117.9864376,0.250183792,0.109649463,0.438833994,0.012599961,0.019087367
A02x26313799,A02,118.8131312,0.272775903,0.068700201,0.325204415,0.079346872,0.001874617
A02x26358335,A02,119.220667,0.241408246,0.066961824,0.250593987,0.093221168,0.020165338
A02x26589698,A02,120.4507916,0.218952007,0.023137482,0.264148079,0.034899109,0.100237059
A03x97360,A03,0,0.416890608,0.268339576,0.002857141,0.738475397,0.195209546
A03x118566,A03,0.382958487,0.457248064,0.186780543,0.000187263,0.982445347,0.280705276
A03x143093,A03,0.79112846,0.508028343,0.218174678,0.016234052,0.957716257,0.180179444
A03x150730,A03,1.199088015,0.530536468,0.28386482,0.001352442,1.033015847,0.170537802
A03x275258,A03,2.025995511,0.469712568,0.16773041,8.86E-05,1.176969094,0.269917752
A03x356060,A03,2.433530965,0.539124439,0.230416929,6.49E-05,1.231569659,0.245890781
A03x992366,A03,3.689519455,0.724889127,0.370297014,0.007297553,1.477660643,0.25397365
A03x1233655,A03,4.515781816,0.726866862,0.282273515,0.026183339,1.47988533,0.236102993
A03x1293411,A03,5.342261585,0.691259991,0.322517376,0.005206132,2.024279667,0.304527407
A03x1385842,A03,6.168955216,0.364543846,0.559188494,0.026325329,1.910844092,0.200023378
A03x1416635,A03,6.576914774,0.124798225,0.524808214,0.006811022,1.880325553,0.306629602
A03x1465710,A03,6.985084642,0.048394485,0.721985434,0.0118324,1.947409997,0.170996475
A03x1510399,A03,7.393254509,0.075659438,0.697154913,0.002491569,2.145198186,0.213096917
A03x1519967,A03,7.801424376,0.101741074,0.53771732,0.010605834,1.953321554,0.275919424
A03x1527696,A03,8.209594243,0.053894676,0.50934999,0.017318008,1.589437722,0.181908759
A03x1543943,A03,8.61776411,0.056425385,0.471449831,0.000243512,1.446806869,0.108237142
A03x1626782,A03,9.025933977,0.106037154,0.419538389,0.001458418,1.64019606,0.070448621
A03x1730647,A03,9.434103844,0.190717934,0.250076198,0.001399701,1.615347361,0.010401527
A03x1786910,A03,9.842273969,0.467355314,0.271857277,0.013382037,1.637409401,1.59E-05
A03x1851066,A03,10.24993152,0.32303463,0.363774203,0.00011855,1.434837007,0.024412511
A03x2005993,A03,10.65767774,0.203322132,0.359745517,0.001016181,1.271413749,0.008639976
A03x2053217,A03,11.91334472,0.401601402,0.338326361,0.001312441,1.688046361,0.016052179
